County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng,CountyName,State
"Sheridan County, NE",304.7038659,0,2,1,13,17,68,4,4,5251,3.78,4.0,1.2903225806451613,50,42.588467317339564,-102.7722524335846,Sheridan County,NE
"Clearfield County, PA",304.2846232,0,37,12,198,325,1454,43,19,81174,3.54,3.75,1.3636363636363635,50,41.01615919880256,-78.4397198465191,Clearfield County,PA
"Jackson County, TN",303.8985847,0,0,2,33,83,131,17,3,11517,3.6428571428571432,4.5,1.0,7,36.34739609459515,-85.65345999515044,Jackson County,TN
"Washington County, MS",303.89631299999996,11,24,54,62,1242,1693,142,85,49688,3.7083333333333335,4.0,1.75,12,33.33713814286818,-91.01072242809244,Washington County,MS
"Adams County, IL",303.8879785000001,0,28,16,160,287,1251,30,9,67130,3.1785714285714284,3.5,1.4,14,39.941861121690394,-91.31303840608908,Adams County,IL
"Iron County, UT",303.548525,1,23,5,113,218,832,53,4,46780,4.21,4.0,1.5555555555555556,50,37.576307066958364,-113.04303160209636,Iron County,UT
"Stark County, OH",303.3838352,13,126,583,417,3773,7549,719,98,375432,4.16,4.0,1.75,50,40.82905594274549,-81.40161647694197,Stark County,OH
"St. Louis County, MO",303.36194539999997,38,154,732,2114,5444,19368,1961,123,1001444,4.4,4.5,1.9130434782608696,50,38.626703544111926,-90.24471885381917,St. Louis County,MO
"Cass County, TX",303.3200356000001,2,11,8,71,298,376,41,1,30331,3.888888888888889,4.5,1.0,9,32.984983640953914,-94.27965883848215,Cass County,TX
"Broome County, NY",303.2389361,7,59,135,398,1252,4891,126,27,197534,3.83,4.0,1.4210526315789471,50,42.153084891241825,-75.86181495773154,Broome County,NY
"Jefferson County, TN",303.1291368,3,12,26,117,399,957,68,5,52123,3.84,4.0,1.2439024390243902,50,36.056166286016655,-83.47127357521876,Jefferson County,TN
"Hertford County, NC",302.8938644,4,5,15,50,225,350,35,6,24431,3.83,4.0,1.3783783783783785,50,36.477248670476634,-76.95605661848383,Hertford County,NC
"Tyler County, TX",302.83265,1,9,1,54,130,134,19,3,21464,3.5588235294117645,4.0,1.2142857142857142,17,30.76893704290844,-94.41751923919914,Tyler County,TX
"Tippecanoe County, IN",302.48537519999996,1,63,87,394,1032,3725,275,16,180174,4.16,4.0,1.6,50,40.41885048129755,-86.88651927764505,Tippecanoe County,IN
"Bay County, MI",302.343867,1,69,41,212,453,1573,89,15,106832,3.8125,4.0,1.2352941176470589,24,43.696087250447846,-83.94710264592149,Bay County,MI
"Kauai County, HI",302.1061112,0,29,22,159,689,1753,151,10,69512,4.058139534883721,4.0,1.4230769230769231,43,21.971537783323694,-159.6713315482748,Kauai County,HI
"Richland Parish, LA",302.05686339999994,0,2,3,58,75,369,14,1,20857,3.4642857142857144,3.5,1.1428571428571428,14,32.45185725590038,-91.76064475230295,Richland Parish,LA
"Knox County, IL",301.4708706,2,20,14,121,340,1032,22,4,52078,3.4722222222222223,3.5,1.3846153846153846,18,40.93514780130753,-90.30752544265087,Knox County,IL
"Jack County, TX",301.4402144,0,6,0,21,39,99,14,1,8957,3.763157894736842,4.0,1.3333333333333333,19,33.21876549394999,-98.15988239276622,Jack County,TX
"Carroll County, GA",300.8321837,3,35,71,229,903,2402,162,8,112355,3.87,4.0,1.5319148936170213,50,33.58454973925719,-85.07229504373859,Carroll County,GA
"Midland County, TX",300.3934825,5,22,54,374,700,2728,216,9,151468,3.9375,4.0,2.0,8,31.946840365020137,-102.106748478271,Midland County,TX
"Greene County, GA",300.2267018,1,0,4,44,100,340,11,0,16321,3.5285714285714285,4.0,1.28,35,33.51836755347511,-83.20868267486671,Greene County,GA
"Carbon County, UT",300.17152660000005,9,11,1,42,211,619,35,4,20988,3.8,4.0,1.3243243243243243,50,39.61981012572739,-110.81946175060844,Carbon County,UT
"Walton County, GA",299.6944749,21,27,42,167,817,1719,163,4,85754,3.36,3.5,1.3888888888888888,50,33.7920616674123,-83.73769487848044,Walton County,GA
"Polk County, TN",299.5805872,4,1,2,43,115,210,41,0,16690,3.6428571428571432,4.0,1.0,7,35.14633760306253,-84.5549012890134,Polk County,TN
